station,line,day,report-start-time,report-end-time,description,offense,victim-sex,victim-age,offender-sex,offender-age,offender-detained
PINO SUÁREZ,2,THURSDAY,14:37,18:30,VEXATION (VERBAL AGRESSION),VEXATION,WOMAN,25,MAN,44,
ACATITLA,A,MONDAY,10:22,14:30,VEXATION (VERBAL AGRESSION),VEXATION,WOMAN,30,MAN,37,
CHABACANO,8,MONDAY,13:25,16:35,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,25,MAN,38,
CHAPULTEPEC,1,TUESDAY,19:25,20:28,TOUCHING OF BUTTOCKS AND PUBIC AREA,SEXUAL ASSAULT,WOMAN,39,MAN,45,
BALDERAS,1,FRIDAY,11:40,13:05,TOUCHING OF BUTTOCKS AND PUBIC AREA,SEXUAL ASSAULT,WOMAN,26,MAN,48,
PANTITLÁN,1,FRIDAY,14:41,15:50,VEXATION (VERBAL AGRESSION),VEXATION,WOMAN,26,MAN,45,
CUAUHTEMÓC,1,MONDAY,08:05,08:30,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,43,MAN,52,
INSURGENTES,1,MONDAY,09:17,16:47,TOUCHING OF BUTTOCKS AND LEG,SEXUAL ASSAULT,WOMAN,23,MAN,43,
HIDALGO,3,MONDAY,09:15,17:05,TOUCHING OF GENITALS,SEXUAL ASSAULT,MAN,34,MAN,64,
PANTITLÁN,9,WEDNESDAY_,11:25,17:30,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,25,MAN ,26,
MIXUCA,9,FRIDAY,09:58,15:08,TOUCHING OF BUTTOCKS AND FRICTION OF PENIS,SEXUAL ASSAULT,WOMAN,23,MAN,43,
BELLAS ARTES,8,FRIDAY,08:30,13:11,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,22,MAN,37,
SALTO DEL AGUA,1,FRIDAY,12:25,13:30,DOMESTIC VIOLENCE (VERBAL),DOMESTIC VIOLENCE,WOMAN,22,MAN,31,
BALDERAS,3,FRIDAY,15:50,23:30,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,17,MAN,47,
PINO SUÁREZ,2,FRIDAY,16:05,16:45,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,36,MAN,50,
TACUBAYA,1,MONDAY,14:04,14:53,PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,19,MAN,45,
SALTO DEL AGUA,1,MONDAY,16:30,20:50,TOUCHING OF RIGHT LEG AND VIDEO RECORDING,SEXUAL ASSAULT,WOMAN,19,MAN,41,
INDIOS VERDES,3,MONDAY,11:21,14:27,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,MAN,28,MAN,47,
PINO SUÁREZ,2,MONDAY,12:29,20:29,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,27,MAN,38,
INDIOS VERDES,3,MONDAY,16:06,16:40,VEXATION (VERBAL AGRESSION),VEXATION,WOMAN,25,MAN,36,
INDIOS VERDES,3,WEDNESDAY_,18:50,00:26,TOUCHING OF BREAST AND BUTTOCKS,SEXUAL ASSAULT,WOMAN,24,MAN,22,
HIDALGO,3,TUESDAY,13:50,14:35,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,33,MAN,30,
18 DE MARZO,3,TUESDAY,19:10,01:00,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,29,MAN,22,
HIDALGO,3,THURSDAY,14:30,14:50,PICTURE TAKING,SEXUAL HARASSMENT,WOMAN,21,MAN,30,
CONSTITUCIÓN DE 1917,8,WEDNESDAY_,10:00,15:42,TOUCHING OF BUTTOCKS AND LEG,SEXUAL ASSAULT,WOMAN,26,MAN,32,
INDIOS VERDES,3,WEDNESDAY_,14:50,17:35,VIDEO RECORDING,SEXUAL HARASSMENT,WOMAN,24,MAN,25,
JUÁREZ,3,FRIDAY,09:20,15:48,FRICTION OF PENIS AND EJACULATION,SEXUAL ASSAULT,WOMAN,41,MAN,34,
ESCUADRÓN 201,8,FRIDAY,15:53,13:20,PICTURE TAKING,SEXUAL HARASSMENT,WOMAN,16,MAN ,33,
PINO SUÁREZ,2,FRIDAY,15:48,20:40,TOUCHING OF LEG,SEXUAL ASSAULT,WOMAN,24,MAN,34,
ERMITA,12,TUESDAY,10:55,19:00,VERBAL SEXUAL HARASSMENT AND PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,50,MAN,46,
SAN JUAN DE LETRÁN ,8,WEDNESDAY_,09:00,16:40,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,24,MAN,25,
